Time, Heater, Temperature
3474.439753,33,49.902
3475.429271,33,49.902
3476.431458,33,49.87
3477.420926,33,49.773
3478.423155,33,49.838
3479.412574,33,49.677
3480.414867,33,49.806
3481.404239,33,49.87
3482.406557,33,49.806
3483.395931,33,49.902
3484.39822,33,49.806
3485.387626,33,49.741
3486.389847,33,49.677
3487.379311,33,49.58
3488.381537,33,49.58
3489.370997,33,49.58
3490.372818,33,49.58
3491.362649,33,49.58
3492.364523,33,49.58
3493.354272,33,49.58
3494.355803,37,49.58
3495.346064,37,49.322
3496.347664,37,49.258
3497.33785,37,49.258
3498.33948,37,49.258
3499.329241,37,49.258
3500.331318,37,49.258
3501.321015,37,49.258
3502.323098,37,49.258
3503.312806,37,49.387
3504.31489,37,49.483
3505.304613,37,49.29
3506.306666,37,49.322
3507.296434,37,49.258
3508.298395,37,49.258
3509.288254,37,49.258
3510.290076,37,49.258
3511.280059,37,49.226
3512.281882,37,48.968
3513.271846,37,48.936
3514.273476,37,48.936
3515.263634,37,48.936
3516.265285,37,48.936
3517.255434,37,48.936
3518.257073,37,48.936
3519.247328,37,48.936
3520.248175,37,48.968
3521.2387,37,48.936
3522.239967,37,48.936
3523.230514,37,49.032
3524.231717,37,48.968
3525.222279,37,49.161
3526.223519,37,49.258
3527.214087,37,49.258
3528.215353,37,49.258
3529.205445,37,49.258
3530.206777,37,49.29
3531.197223,37,49.258
3532.198625,37,49.258
3533.18902,37,49.322
3534.190385,37,49.258
3535.180839,37,49.451
3536.182204,37,49.548
3537.172625,37,49.58
3538.174001,37,49.451
3539.164434,37,49.354
3540.165824,37,49.322
3541.156229,37,49.29
3542.157651,37,49.258
3543.147986,37,49.258
3544.149479,37,49.258
3545.139748,37,49.258
3546.140983,37,49.258
3547.131426,37,49.258
3548.132467,37,49.29
3549.123241,37,49.258
3550.124274,37,49.258
3551.115,37,49.258
3552.116119,37,49.258
3553.10679,37,49.258
3554.107941,37,49.258
3555.098627,37,49.258
3556.099724,37,49.258
3557.090366,37,49.193
3558.09156,37,49.226
3559.082053,37,49.193
3560.083341,37,49.161
3561.073864,37,49.032
3562.075183,37,49.193
3563.065668,37,49.258
3564.066983,37,49.258
3565.057218,37,49.258
3566.058805,37,49.354
3567.049009,37,49.354
3568.0506,37,49.387
3569.040605,37,49.548
3570.042012,37,49.548
3571.032414,37,49.58
3572.033623,37,49.419
3573.024211,37,49.483
3574.02544,37,49.419
3575.016009,37,49.451
3576.017242,37,49.387
3577.0076,37,49.387
3578.008894,37,49.387
3578.99939,37,49.419
3580.000707,37,49.58
3580.99121,37,49.58
3581.9925,37,49.548
3582.982999,37,49.58
3583.984294,37,49.58
3584.974822,37,49.58
3585.976053,37,49.58
3586.96661,37,49.58
3587.96786,37,49.58
3588.958432,37,49.58
3589.959694,37,49.612
3590.95018,37,49.773
3591.95151,37,49.773
3592.941965,37,49.773
3593.943361,37,49.773
3594.933712,37,49.741
3595.935213,37,49.677
3596.925524,37,49.677
3597.927054,37,49.773
3598.917039,37,49.902
3599.918874,37,49.902
3600.908863,37,49.902
3601.910677,37,49.902
3602.900685,37,49.902
3603.90245,37,49.902
3604.892469,37,49.902
3605.894255,37,49.902
3606.884286,37,49.902
3607.886056,37,49.902
3608.876125,37,49.902
3609.877663,37,49.902
3610.86794,37,49.902
3611.86947,37,49.902
